shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_manual-1770916792369_rev,19.71490950489735,-99.06740048276824,13
shape_manual-1770916792369_rev,19.702652565618266,-99.08148226550766,14
shape_manual-1770916792369_rev,19.7014001,-99.0829273,15
shape_manual-1770916792369_rev,19.682049936874282,-99.10499296012736,16
shape_manual-1770916792369_rev,19.674554186433916,-99.11370486703667,17
shape_manual-1770916792369_rev,19.6650952,-99.1245462,18
shape_manual-1770916792369_rev,19.6571906,-99.1337736,19
shape_manual-1770916792369_rev,19.646567703299848,-99.14584826498634,20
shape_manual-1770916792369_rev,19.6397129,-99.1538137,21
shape_manual-1770916792369_rev,19.63421574497926,-99.16014075279236,22
shape_manual-1770916792369_rev,19.628678100562603,-99.16647077535369,23
shape_manual-1770916792369_rev,19.6246711831615,-99.1710663887309,24
shape_manual-1770916792369_rev,19.6208109,-99.1756842,25
shape_manual-1770916792369_rev,19.618182895548046,-99.17855590666662,26
shape_manual-1770916792369_rev,19.614584631802796,-99.18271866528366,27
shape_manual-1770916792369_rev,19.613049292722348,-99.18442540554487,28
shape_manual-1770916792369_rev,19.612675417270587,-99.18476342207552,29
shape_manual-1770916792369_rev,19.612139986374952,-99.18502090196063,30
shape_manual-1770916792369_rev,19.609699055666216,-99.18566998842206,31
shape_manual-1770916792369_rev,19.606126347394383,-99.18638346549358,32
shape_manual-1770916792369_rev,19.600506289291605,-99.18609871690728,33
shape_manual-1770916792369_rev,19.594229087815034,-99.18568021921918,34
shape_manual-1770916792369_rev,19.5933604125173,-99.18577666776766,35
shape_manual-1770916792369_rev,19.5921993,-99.1861074,36
shape_manual-1770916792369_rev,19.5912169,-99.1865766,37
shape_manual-1770916792369_rev,19.590136147262054,-99.18733215681821,38
shape_manual-1770916792369_rev,19.586608291972336,-99.19034724937138,39
shape_manual-1770916792369_rev,19.58407087910252,-99.19216052010789,40
shape_manual-1770916792369_rev,19.580937066023296,-99.1948859205538,41
shape_manual-1770916792369_rev,19.5799233,-99.1960274,42
shape_manual-1770916792369_rev,19.5783202,-99.1972263,43
shape_manual-1770916792369_rev,19.5767736,-99.197653,44
shape_manual-1770916792369_rev,19.575630662011008,-99.19764360495034,45
shape_manual-1770916792369_rev,19.57117232683364,-99.19666191645089,46
shape_manual-1770916792369_rev,19.5629157,-99.1948411,47
shape_manual-1770916792369_rev,19.5614683165675,-99.19456426795061,48
shape_manual-1770916792369_rev,19.56018579566953,-99.19393297863193,49
